City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Puerto Ayora,EC,-0.7393,-90.3518,68.74,94,94,8.79,light rain
1,Kultuk,RU,51.7208,103.6956,36.77,93,100,6.91,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,50.49,89,99,3.31,overcast clouds
3,Hobart,AU,-42.8794,147.3294,55.27,97,75,1.01,light intensity drizzle
4,Provideniya,RU,64.3833,-173.3,20.98,80,6,6.64,clear sky
5,Port Alfred,ZA,-33.5906,26.891,63.46,67,52,34.72,broken clouds
6,Rincon,US,32.296,-81.2354,76.86,99,40,3.44,scattered clouds
7,Malm,NO,64.0721,11.2172,62.44,66,100,14.12,overcast clouds
8,Castro,BR,-24.7911,-50.0119,61.41,90,93,4.16,light rain
9,Rikitea,PF,-23.1203,-134.9692,72.61,70,13,20.2,few clouds
10,Saskylakh,RU,71.9167,114.0833,15.44,98,89,3.96,overcast clouds
11,Porto Walter,BR,-8.2686,-72.7439,72.36,86,13,1.95,few clouds
12,Shimoda,JP,34.6667,138.95,69.1,84,0,6.78,clear sky
13,Marzuq,YE,14.4,46.4667,87.28,36,85,15.32,overcast clouds
14,Namibe,AO,-15.1961,12.1522,69.82,60,18,12.91,few clouds
15,Ribeira Grande,PT,38.5167,-28.7,73.8,83,20,11.5,few clouds
16,Zhigalovo,RU,54.8097,105.1578,37.35,96,100,5.48,overcast clouds
17,Wadi Musa,JO,30.3222,35.4793,73.04,55,5,9.19,clear sky
18,Carnarvon,AU,-24.8667,113.6333,66.27,63,0,17.27,clear sky
19,Hithadhoo,MV,-0.6,73.0833,83.34,71,84,8.99,broken clouds
20,Kapaa,US,22.0752,-159.319,77.32,81,20,1.99,light rain
21,Tasiilaq,GL,65.6145,-37.6368,35.76,53,78,4.56,broken clouds
22,Upernavik,GL,72.7868,-56.1549,30.18,91,92,3.96,overcast clouds
23,Bilma,NE,18.6853,12.9164,96.37,13,0,10.92,clear sky
24,Sterling,US,39.0062,-77.4286,55.54,96,20,0.0,fog
25,Havre,FR,49.5833,0.3333,57.34,88,90,16.11,light rain
26,Albany,US,42.6001,-73.9662,49.53,94,73,3.4,broken clouds
27,Charcas,MX,23.1333,-101.1167,57.61,93,100,15.08,overcast clouds
28,Soyo,AO,-6.1349,12.3689,78.17,75,100,9.66,overcast clouds
29,Carutapera,BR,-1.195,-46.02,83.3,68,22,9.22,few clouds
30,Ushuaia,AR,-54.8,-68.3,33.46,80,75,4.61,broken clouds
31,Butaritari,KI,3.0707,172.7902,83.37,75,100,18.37,overcast clouds
32,Bredasdorp,ZA,-34.5322,20.0403,57.27,52,98,19.19,overcast clouds
33,Jamestown,US,42.097,-79.2353,57.72,96,1,5.75,clear sky
34,Ponta Delgada,PT,37.7333,-25.6667,75.51,88,40,13.8,scattered clouds
35,Punta Arenas,CL,-53.15,-70.9167,37.42,69,0,14.03,clear sky
36,Kiama,AU,-34.6833,150.8667,59.0,94,50,1.99,light rain
37,Enid,US,36.3956,-97.8784,63.09,96,90,1.01,heavy intensity rain
38,Iqaluit,CA,63.7506,-68.5145,33.1,60,9,8.43,clear sky
39,Bethel,US,41.3712,-73.414,53.49,90,1,0.0,clear sky
40,Mar Del Plata,AR,-38.0023,-57.5575,54.12,42,51,11.99,broken clouds
41,Panama City,PA,8.9936,-79.5197,79.05,88,20,3.44,few clouds
42,Bluff,NZ,-46.6,168.3333,50.81,78,100,16.51,overcast clouds
43,Olafsvik,IS,64.8945,-23.7142,41.72,79,100,22.39,overcast clouds
44,Kathu,TH,7.9178,98.3332,87.69,92,98,5.39,overcast clouds
45,La Rioja,ES,42.25,-2.5,66.04,35,64,6.58,broken clouds
46,Sakakah,SA,29.9697,40.2064,101.77,10,0,8.08,clear sky
47,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,83,0,4.61,clear sky
48,Khatanga,RU,71.9667,102.5,28.26,95,100,3.65,overcast clouds
49,Qaanaaq,GL,77.484,-69.3632,24.35,88,97,9.31,overcast clouds
50,Plerin,FR,48.5425,-2.7798,60.21,92,75,13.0,light intensity drizzle
51,Lorengau,PG,-2.0226,147.2712,81.03,74,59,4.16,broken clouds
52,Rabaul,PG,-4.1967,152.1721,81.95,74,86,3.6,overcast clouds
53,Asau,RO,46.4333,26.4,62.4,42,4,5.73,clear sky
54,Iwanai,JP,42.9744,140.5089,57.34,86,75,9.44,broken clouds
55,Kaitangata,NZ,-46.2817,169.8464,55.92,61,96,5.95,overcast clouds
56,Barcelos,PT,41.5388,-8.6151,69.91,94,100,9.06,overcast clouds
57,Vaini,TO,-21.2,-175.2,73.56,88,40,10.36,scattered clouds
58,Rio Grande,BR,-32.035,-52.0986,55.94,71,0,3.87,clear sky
59,Nagato,JP,34.3833,131.2,73.35,81,0,3.18,clear sky
60,Lagoa,PT,39.05,-27.9833,70.66,87,19,17.65,few clouds
61,Rawson,AR,-43.3002,-65.1023,48.92,76,81,16.08,broken clouds
62,Ca Mau,VN,9.1769,105.15,79.41,89,100,2.55,overcast clouds
63,Bengkulu,ID,-3.8004,102.2655,79.72,87,98,9.37,overcast clouds
64,Salalah,OM,17.0151,54.0924,84.52,73,100,10.4,overcast clouds
65,Kemin,KG,42.7846,75.6892,42.01,81,100,1.95,overcast clouds
66,Itarema,BR,-2.9248,-39.9167,83.39,65,36,16.58,scattered clouds
67,Sao Filipe,CV,14.8961,-24.4956,80.31,74,95,2.17,overcast clouds
68,Yellowknife,CA,62.456,-114.3525,44.42,100,69,4.0,broken clouds
69,Chimbote,PE,-9.0853,-78.5783,61.02,89,98,5.77,overcast clouds
70,Nabire,ID,-3.3667,135.4833,76.66,92,97,2.89,overcast clouds
71,Busselton,AU,-33.65,115.3333,56.08,73,78,20.15,broken clouds
72,Port Elizabeth,ZA,-33.918,25.5701,58.32,66,40,28.14,scattered clouds
73,Puerto Suarez,BO,-18.95,-57.8,84.76,61,35,5.75,scattered clouds
74,Nome,US,64.5011,-165.4064,30.11,86,1,11.5,clear sky
