City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,68.74,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
12,Shimoda,JP,69.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
14,Namibe,AO,69.82,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
18,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
45,La Rioja,ES,66.04,broken clouds,42.25,-2.5,Casa Concejos
56,Barcelos,PT,69.91,overcast clouds,41.5388,-8.6151,Hotel Do Terço
129,East Bethel,US,68.04,overcast clouds,45.3194,-93.2025,Norquist Camp Ground
138,El Cerrito,CO,67.68,fog,3.6855,-76.3137,Hostal La Casona
151,Lata,PT,68.92,overcast clouds,40.1629,-8.3327,Casa Maquia
153,Warmbad,,65.84,few clouds,-28.45,18.7333,
160,Durban,ZA,68.92,moderate rain,-29.8579,31.0292,Hilton Durban
164,Luan,CH,66.56,scattered clouds,46.3592,6.9759,Hotel Appartement Castel Club Leysin Parc
172,Ginda,IN,68.68,broken clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
182,Makhinjauri,GE,69.66,few clouds,41.6739,41.694,Golden Anchor
193,Half Moon Bay,US,67.1,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
199,Pacific Grove,US,68.16,haze,36.6177,-121.9166,Lovers Point Inn
217,Saint George,US,68.34,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
244,Muros,ES,69.85,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
270,Lasa,IT,65.03,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
296,General Cepeda,MX,65.07,overcast clouds,25.3833,-101.45,Hacienda Los Jose
297,Korla,CN,69.31,scattered clouds,41.7597,86.1469,Gulisitan Hotel
311,Richards Bay,ZA,68.49,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
322,Viersen,DE,65.1,broken clouds,51.25,6.3833,Hotel Rahserhof
323,Avera,US,67.71,clear sky,33.194,-82.5271,
338,Kamariotissa,GR,68.02,few clouds,40.4833,25.4667,Niki Beach
357,Grinnell,US,65.59,mist,41.743,-92.7224,"Country Inn & Suites by Radisson, Grinnell, IA"
361,Marawi,PH,65.64,broken clouds,7.9986,124.2928,Derogongan Residence
364,Pulandian,CN,69.93,scattered clouds,39.3953,121.9669,HR East Hotel
425,Shingu,JP,68.43,clear sky,33.7333,135.9833,Shingu UI Hotel
431,Chynadiyovo,UA,65.61,broken clouds,48.4818,22.8217,Vorobey
443,Chisec,GT,68.36,scattered clouds,15.8167,-90.2833,Hotel Estancia De La Virgen
453,Maltahohe,,66.83,clear sky,-24.8333,16.9833,Maltahöhe Hotel
476,Luderitz,,68.58,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
479,Toro,CO,68.68,overcast clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
538,Itirapina,BR,66.13,overcast clouds,-22.2528,-47.8228,Pousada Paraiso das Aguas
559,Kapenguria,KE,68.49,light rain,1.2511,35.0895,Samaritan Guest House
562,Yataity,PY,66.9,overcast clouds,-26.3667,-56.0667,Cristhian Ortigoza
594,Evans,US,67.03,clear sky,33.5337,-82.1307,Candlewood Suites
598,Springdale,US,69.62,overcast clouds,36.1867,-94.1288,Springdale Inn
605,Guerrero Negro,MX,69.4,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
606,Broken Hill,AU,65.7,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
627,Piney Green,US,65.89,clear sky,34.716,-77.3202,Holiday City Mobile Home Community
635,Castrillon,ES,68.22,overcast clouds,43.3979,-6.7922,HR PALACIO DE PRELO 4 estrellas
636,Erenhot,CN,65.17,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
659,Carballo,ES,69.49,light rain,43.213,-8.691,Pazo do Souto
677,Discovery Bay,US,69.44,clear sky,37.9085,-121.6002,Orwood Resort Inc
678,Tirano,IT,69.19,broken clouds,46.2154,10.1679,Hotel Corona Tirano
681,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
